03/19 05:59:23 PM | Epoch[13] (9728/50000):	Loss 0.2960	Accuracy 90.30%		Time 0.21s
03/19 05:59:23 PM | Epoch[13] (14592/50000):	Loss 0.2922	Accuracy 90.32%		Time 0.21s
03/19 05:59:23 PM | Epoch[13] (19456/50000):	Loss 0.2888	Accuracy 90.39%		Time 0.21s
03/19 05:59:24 PM | Epoch[13] (24320/50000):	Loss 0.2893	Accuracy 90.36%		Time 0.21s
03/19 05:59:24 PM | Epoch[13] (29184/50000):	Loss 0.2916	Accuracy 90.27%		Time 0.21s
03/19 05:59:24 PM | Epoch[13] (34048/50000):	Loss 0.2919	Accuracy 90.23%		Time 0.21s
03/19 05:59:24 PM | Epoch[13] (38912/50000):	Loss 0.2919	Accuracy 90.19%		Time 0.21s
03/19 05:59:25 PM | Epoch[13] (43776/50000):	Loss 0.2966	Accuracy 90.06%		Time 0.21s
03/19 05:59:25 PM | Epoch[13] (48640/50000):	Loss 0.2972	Accuracy 90.04%		Time 0.21s
03/19 05:59:25 PM | Test Loss 0.4858	Accuracy 84.42%		Time 0.33s

03/19 05:59:26 PM | Epoch[14] (4864/50000):	Loss 0.2900	Accuracy 90.20%		Time 0.30s
03/19 05:59:26 PM | Epoch[14] (9728/50000):	Loss 0.3011	Accuracy 89.86%		Time 0.21s
03/19 05:59:26 PM | Epoch[14] (14592/50000):	Loss 0.2982	Accuracy 89.85%		Time 0.21s
03/19 05:59:26 PM | Epoch[14] (19456/50000):	Loss 0.3002	Accuracy 89.90%		Time 0.21s
03/19 05:59:26 PM | Epoch[14] (24320/50000):	Loss 0.2947	Accuracy 90.14%		Time 0.21s
03/19 05:59:27 PM | Epoch[14] (29184/50000):	Loss 0.2908	Accuracy 90.27%		Time 0.21s
03/19 05:59:27 PM | Epoch[14] (34048/50000):	Loss 0.2899	Accuracy 90.32%		Time 0.21s
03/19 05:59:27 PM | Epoch[14] (38912/50000):	Loss 0.2900	Accuracy 90.30%		Time 0.21s
03/19 05:59:27 PM | Epoch[14] (43776/50000):	Loss 0.2935	Accuracy 90.15%		Time 0.21s
03/19 05:59:27 PM | Epoch[14] (48640/50000):	Loss 0.2967	Accuracy 90.06%		Time 0.21s
03/19 05:59:28 PM | Test Loss 0.4639	Accuracy 84.51%		Time 0.33s

03/19 05:59:28 PM | Epoch[15] (4864/50000):	Loss 0.2894	Accuracy 90.25%		Time 0.30s
03/19 05:59:28 PM | Epoch[15] (9728/50000):	Loss 0.2893	Accuracy 90.51%		Time 0.21s
03/19 05:59:29 PM | Epoch[15] (14592/50000):	Loss 0.2894	Accuracy 90.48%		Time 0.21s
03/19 05:59:29 PM | Epoch[15] (19456/50000):	Loss 0.2914	Accuracy 90.44%		Time 0.21s
03/19 05:59:29 PM | Epoch[15] (24320/50000):	Loss 0.2912	Accuracy 90.36%		Time 0.21s
03/19 05:59:29 PM | Epoch[15] (29184/50000):	Loss 0.2917	Accuracy 90.34%		Time 0.21s
03/19 05:59:30 PM | Epoch[15] (34048/50000):	Loss 0.2941	Accuracy 90.21%		Time 0.21s
03/19 05:59:30 PM | Epoch[15] (38912/50000):	Loss 0.2951	Accuracy 90.22%		Time 0.21s
03/19 05:59:30 PM | Epoch[15] (43776/50000):	Loss 0.2988	Accuracy 90.15%		Time 0.21s
03/19 05:59:30 PM | Epoch[15] (48640/50000):	Loss 0.2980	Accuracy 90.22%		Time 0.21s
03/19 05:59:31 PM | Test Loss 0.5066	Accuracy 83.60%		Time 0.33s

03/19 05:59:31 PM | Epoch[16] (4864/50000):	Loss 0.2759	Accuracy 90.78%		Time 0.30s
03/19 05:59:31 PM | Epoch[16] (9728/50000):	Loss 0.2734	Accuracy 91.08%		Time 0.21s
03/19 05:59:31 PM | Epoch[16] (14592/50000):	Loss 0.2790	Accuracy 90.79%		Time 0.21s
03/19 05:59:32 PM | Epoch[16] (19456/50000):	Loss 0.2794	Accuracy 90.76%		Time 0.21s
03/19 05:59:32 PM | Epoch[16] (24320/50000):	Loss 0.2828	Accuracy 90.60%		Time 0.21s
03/19 05:59:32 PM | Epoch[16] (29184/50000):	Loss 0.2829	Accuracy 90.63%		Time 0.21s
03/19 05:59:32 PM | Epoch[16] (34048/50000):	Loss 0.2853	Accuracy 90.49%		Time 0.21s
03/19 05:59:32 PM | Epoch[16] (38912/50000):	Loss 0.2868	Accuracy 90.47%		Time 0.21s
03/19 05:59:33 PM | Epoch[16] (43776/50000):	Loss 0.2887	Accuracy 90.43%		Time 0.21s
03/19 05:59:33 PM | Epoch[16] (48640/50000):	Loss 0.2910	Accuracy 90.31%		Time 0.21s
03/19 05:59:33 PM | Test Loss 0.4986	Accuracy 84.02%		Time 0.33s

03/19 05:59:34 PM | Epoch[17] (4864/50000):	Loss 0.3224	Accuracy 89.51%		Time 0.30s
03/19 05:59:34 PM | Epoch[17] (9728/50000):	Loss 0.3179	Accuracy 89.62%		Time 0.21s
03/19 05:59:34 PM | Epoch[17] (14592/50000):	Loss 0.3093	Accuracy 89.90%		Time 0.21s
03/19 05:59:34 PM | Epoch[17] (19456/50000):	Loss 0.3067	Accuracy 89.81%		Time 0.21s
03/19 05:59:35 PM | Epoch[17] (24320/50000):	Loss 0.3041	Accuracy 89.93%		Time 0.21s
03/19 05:59:35 PM | Epoch[17] (29184/50000):	Loss 0.3030	Accuracy 89.98%		Time 0.21s
03/19 05:59:35 PM | Epoch[17] (34048/50000):	Loss 0.3022	Accuracy 89.98%		Time 0.21s
03/19 05:59:35 PM | Epoch[17] (38912/50000):	Loss 0.3042	Accuracy 89.90%		Time 0.21s
03/19 05:59:35 PM | Epoch[17] (43776/50000):	Loss 0.3054	Accuracy 89.91%		Time 0.21s
03/19 05:59:36 PM | Epoch[17] (48640/50000):	Loss 0.3051	Accuracy 89.91%		Time 0.21s
03/19 05:59:36 PM | Test Loss 0.4468	Accuracy 85.45%		Time 0.33s

03/19 05:59:36 PM | Epoch[18] (4864/50000):	Loss 0.2720	Accuracy 90.78%		Time 0.30s
03/19 05:59:37 PM | Epoch[18] (9728/50000):	Loss 0.2765	Accuracy 90.89%		Time 0.21s
03/19 05:59:37 PM | Epoch[18] (14592/50000):	Loss 0.2907	Accuracy 90.43%		Time 0.21s
03/19 05:59:37 PM | Epoch[18] (19456/50000):	Loss 0.2939	Accuracy 90.29%		Time 0.21s
03/19 05:59:37 PM | Epoch[18] (24320/50000):	Loss 0.2955	Accuracy 90.25%		Time 0.21s
03/19 05:59:37 PM | Epoch[18] (29184/50000):	Loss 0.2988	Accuracy 90.16%		Time 0.21s
03/19 05:59:38 PM | Epoch[18] (34048/50000):	Loss 0.3007	Accuracy 90.11%		Time 0.21s
03/19 05:59:38 PM | Epoch[18] (38912/50000):	Loss 0.3012	Accuracy 90.07%		Time 0.21s
03/19 05:59:38 PM | Epoch[18] (43776/50000):	Loss 0.3008	Accuracy 90.11%		Time 0.21s
03/19 05:59:38 PM | Epoch[18] (48640/50000):	Loss 0.3008	Accuracy 90.12%		Time 0.21s
03/19 05:59:39 PM | Test Loss 0.5392	Accuracy 82.29%		Time 0.33s

03/19 05:59:39 PM | Epoch[19] (4864/50000):	Loss 0.3106	Accuracy 89.79%		Time 0.32s
03/19 05:59:39 PM | Epoch[19] (9728/50000):	Loss 0.3007	Accuracy 90.08%		Time 0.21s
03/19 05:59:40 PM | Epoch[19] (14592/50000):	Loss 0.2913	Accuracy 90.40%		Time 0.21s
03/19 05:59:40 PM | Epoch[19] (19456/50000):	Loss 0.2901	Accuracy 90.49%		Time 0.21s
03/19 05:59:40 PM | Epoch[19] (24320/50000):	Loss 0.2869	Accuracy 90.61%		Time 0.21s
03/19 05:59:40 PM | Epoch[19] (29184/50000):	Loss 0.2911	Accuracy 90.43%		Time 0.21s
03/19 05:59:40 PM | Epoch[19] (34048/50000):	Loss 0.2916	Accuracy 90.39%		Time 0.21s
03/19 05:59:41 PM | Epoch[19] (38912/50000):	Loss 0.2906	Accuracy 90.43%		Time 0.21s
03/19 05:59:41 PM | Epoch[19] (43776/50000):	Loss 0.2922	Accuracy 90.37%		Time 0.21s
03/19 05:59:41 PM | Epoch[19] (48640/50000):	Loss 0.2942	Accuracy 90.28%		Time 0.21s
03/19 05:59:41 PM | Test Loss 0.5764	Accuracy 81.33%		Time 0.33s

03/19 05:59:42 PM | Epoch[20] (4864/50000):	Loss 0.2946	Accuracy 90.18%		Time 0.30s
03/19 05:59:42 PM | Epoch[20] (9728/50000):	Loss 0.2995	Accuracy 90.13%		Time 0.21s
03/19 05:59:42 PM | Epoch[20] (14592/50000):	Loss 0.2952	Accuracy 90.21%		Time 0.21s
03/19 05:59:42 PM | Epoch[20] (19456/50000):	Loss 0.2922	Accuracy 90.32%		Time 0.21s
03/19 05:59:43 PM | Epoch[20] (24320/50000):	Loss 0.2924	Accuracy 90.23%		Time 0.21s
03/19 05:59:43 PM | Epoch[20] (29184/50000):	Loss 0.2899	Accuracy 90.37%		Time 0.21s
